"","G"
"1",48.6023189393611
"2",57.6492141086255
"3",55.6464475515518
"4",78.6358925650826
"5",41.6163284925259
"6",57.511545185714
"7",61.3132076188021
"8",56.0188690150701
"9",57.6941964336789
"10",48.4625943745136
"11",75.711221051248
"12",54.9781670098361
"13",56.9974773746798
"14",54.5795782965762
"15",51.1249508584793
"16",58.8775912122318
"17",58.5390010184017
"18",53.27482417462
"19",82.1192127487029
"20",53.7000117029507
"21",49.746567756914
"22",103.12093785685
"23",55.7519914898531
"24",83.1806856041783
"25",51.412569436349
"26",78.0390904989595
"27",48.7628803167669
"28",61.0850474328076
"29",96.5574248928668
"30",59.2640025037965
"31",102.827057739441
"32",40.7859937576858
"33",60.6065006308675
"34",59.8489347045739
"35",54.9636389970948
"36",55.693806452348
"37",85.8750849104221
"38",57.9987220369759
"39",55.3188621541032
"40",82.3256575189672
"41",55.8999012518666
"42",65.5855741019327
"43",81.6001970095483
"44",44.5831074793704
"45",77.8450723158063
"46",85.2292862830476
"47",60.8507808734407
"48",90.7267223713996
"49",82.8441144071302
"50",51.0001696064486
"51",54.9935582146947
"52",56.0820770367365
"53",67.0581064425931
"54",60.3893486103368
"55",113.903141379339
"56",58.7748654407169
"57",59.9607421678594
"58",57.736016968843
"59",57.9945009153448
"60",81.4145141609293
"61",59.3141438884619
"62",56.3734716480082
"63",64.3066738408424
"64",78.3605161044945
"65",59.0406502405747
"66",57.1672523981377
"67",55.7283768419725
"68",49.6154043867457
"69",59.3719470408424
"70",67.9621439688158
"71",64.5120813271173
"72",56.1217941080801
"73",55.6079223168441
"74",56.9912688780885
"75",55.885814922626
"76",55.4622539920051
"77",120.5144532517
"78",58.8243811789109
"79",60.7391551256477
"80",59.6299002541171
"81",68.1655041335398
"82",82.5585854530523
"83",58.5385271315003
"84",57.2846139030301
"85",56.2794338861946
"86",52.7982666675272
"87",57.7076457851624
"88",52.2440824452576
"89",55.0426624781588
"90",56.3218338807523
"91",58.0292033792827
"92",59.2358384381296
"93",82.3363093507792
"94",111.188501769348
"95",61.6624103844085
"96",52.8128849325673
"97",58.1458746030811
"98",58.8464940303743
"99",66.1374873527545
"100",53.0193102170512
"101",59.0848439751321
"102",53.1828165538195
"103",60.9683322084898
