"","lambda","G"
"1",0.0431129039303316,59.1977390730902
"2",0.042948671371978,59.6621649107226
"3",0.042906827068538,59.4982609235857
"4",0.0429320421565808,59.6154719364462
"5",0.0429783607285923,59.428348647015
"6",0.0428288305304326,59.648092576071
"7",0.0429225353378093,59.6640610384069
"8",0.0426893737343184,59.4241477660565
"9",0.0427706946500363,59.7444773652679
"10",0.0430973314634589,59.2262185852552
"11",0.0429669847090408,59.729194819313
"12",0.0428909370665092,59.6531400126341
"13",0.042897895396581,59.4378278654842
"14",0.0431767554438411,59.1707569297545
"15",0.0428546937346436,59.6923485713389
"16",0.0427844460534924,59.5074889215372
"17",0.0430384113710718,59.2738706852838
"18",0.0428321483651607,59.6953993629246
"19",0.0429412205978796,59.6960798454447
"20",0.0430941270985077,59.5336222855016
"21",0.042986374688254,59.5359240014589
"22",0.0427835921644393,59.6285501427143
"23",0.0427270958382083,59.8634216214767
"24",0.0428455012580873,59.5183816101639
"25",0.0429738712184447,59.576247076112
"26",0.043038446856094,59.1496900856693
"27",0.0429211723662904,59.5035992877037
"28",0.0428980769901024,59.363844612232
"29",0.0427641051631525,59.8426713552216
"30",0.0430985632680705,59.1652953425546
"31",0.0428966574988315,59.7434720301261
"32",0.04292277872354,59.9571774533582
"33",0.0428720925163076,59.482959399339
"34",0.0430042499643665,59.1656204810392
"35",0.0428873382986932,59.4907884410299
"36",0.0428779145782446,59.5392019276728
"37",0.0430858331904465,59.2299020447322
"38",0.0428546212746123,59.5071369065509
"39",0.0426174845749305,59.829944061228
"40",0.0429782526249074,59.562476584296
"41",0.0428260702323344,59.6719611798707
"42",0.0430117957962125,59.5527690098303
"43",0.0428295421721567,59.6477675437958
"44",0.0428539246359078,59.6000295996293
"45",0.0426630501632563,59.7278986971406
"46",0.0430950044206339,59.7950777133754
"47",0.0427144616569038,59.7578940429213
"48",0.0431248679095577,59.1509607463147
"49",0.0430544783882242,59.4505423529689
"50",0.0426762044538531,59.8395983137807
"51",0.0429225312751625,59.8126558193502
"52",0.043102325860711,59.1621956508888
"53",0.0428385244561358,59.7981010292261
"54",0.0429698387650768,59.4391964599412
"55",0.0428172005846952,59.6834595352949
"56",0.0427996394461012,59.7061356779239
"57",0.0429642135978474,59.5050739306962
"58",0.0427288602999116,59.5648588381765
"59",0.0428287364824646,59.683896566143
"60",0.0427837201712112,59.8257487727541
